Ecru,#fff7e7,,Ecru/off-white
Blanc,#fcfcff,,White
White,#fcfcff,,White
B5200,#ffffff,,Snow White
420,#855a30,,Hazelnut Brown - Dark
422,#c99a67,,Hazelnut Brown - Light
433,#73421e,,Brown - Medium
434,#8f5332,,Brown - Light
435,#a96538,,Brown - Very Light
436,#c78559,,Tan
437,#daa26f,,Tan - Light
444,#f5bc13,,Lemon - Dark
445,#fcf999,,Lemon - Light
451,#887773,,Shell Gray - Dark
452,#ad9994,,Shell Gray - Medium
453,#ccb8aa,,Shell Gray - Light
469,#5b6533,,Avocado Green
470,#72813e,,Avocado Green - Light
471,#9eb357,,Avocado Green - Very Light
472,#d1de75,,Avocado Green - Ultra Light
498,#970b2c,,Red - Dark
500,#1d362a,,Blue Green - Very Dark
501,#2f5446,,Blue Green - Dark
502,#57826e,,Blue Green
503,#89b89f,,Blue Green - Medium
504,#acdac1,,Blue Green - Very Light
505,#338362,,Grass Green - Dark
517,#216285,,Wedgewood - Dark
518,#50819c,,Wedgewood - Light
519,#94b7cb,,Sky Blue
520,#384526,,Fern Green - Dark
522,#808b6e,,Fern Green
523,#959f7a,,Fern Green - Light
524,#aea78e,,Fern Green - Very Light
535,#4b4b49,,Ash Gray - Very Light
543,#ead0b5,,Beige Brown - Ultra Very Light
550,#580e5c,,Violet - Very Dark
552,#902f99,,Violet - Medium
553,#a449ac,,Violet
554,#dc9cde,,Violet - Light
561,#285e48,,Jade - Very Dark
562,#3b8c5a,,Jade - Medium
563,#6ed39a,,Jade - Light
564,#95e4af,,Jade - Very Light
580,#355f0b,,Moss Green - Dark
581,#838a29,,Moss Green
597,#52adab,,Turquoise
598,#97d8d3,,Turquoise - Light
600,#bf1c48,,Cranberry - Very Dark
601,#c62a53,,Cranberry - Dark
602,#d63f68,,Cranberry - Medium
603,#fb4b7c,,Cranberry - Light Medium
604,#f793b2,,Cranberry - Light
605,#fbacc4,,Cranberry - Very Light
606,#f70f00,,Orange-red - Bright
608,#fd480c,,Orange - Bright
610,#6b5039,,Drab Brown - Dark
611,#7c5f46,,Drab Brown
612,#a6885e,,Drab Brown - Light
613,#b99f72,,Drab Brown - Very Light
632,#7f4232,,Desert Sand - Ultra Very Dark
640,#817868,,Beige Gray - Very Dark
642,#958d79,,Beige Gray - Dark
644,#c4bea6,,Beige Gray - Medium
645,#5d5d54,,Beaver Gray - Very Dark
646,#6b6860,,Beaver Gray - Dark
647,#908e85,,Beaver Gray - Medium
648,#a7a69f,,Beaver Gray - Light
666,#ce1b33,,Red - Bright
676,#ecbf7d,,Old Gold - Light
677,#f2dc9f,,Old Gold - Very Light
680,#b07b46,,Old Gold - Dark
699,#075b26,,Green
700,#076c34,,Green - Bright
701,#217c36,,Green - Light
702,#379130,,Kelly Green
703,#63b330,,Chartreuse
704,#88c53a,,Chartreuse - Bright
712,#f6efda,,Cream
718,#cb2089,,Plum
720,#c83a24,,Orange Spice - Dark
721,#f46440,,Orange Spice - Medium
722,#f98756,,Orange Spice - Light
725,#f9c15b,,Topaz
726,#fddb63,,Topaz - Light
727,#fde98b,,Topaz - Very Light
728,#f2ae3f,,Golden Yellow
729,#ce9657,,Old Gold - Medium
730,#63520b,,Olive Green - Very Dark
731,#6b580b,,Olive Green - Dark
732,#725c0c,,Olive Green
733,#a78a44,,Olive Green - Medium
734,#bb9c54,,Olive Green - Light
738,#e2b783,,Tan - Very Light
739,#f2deb9,,Tan - Ultra Very Light
740,#fd6f1a,,Tangerine
741,#fc8b10,,Tangerine - Medium
742,#fdae3c,,Tangerine - Light
743,#fdd769,,Yellow - Medium
744,#fee88d,,Yellow - Pale
745,#feeba5,,Yellow - Light Pale
746,#faf2d5,,Off White
747,#cee9ea,,Sky Blue - Very Light
754,#f7c9b0,,Peach - Light
758,#e99f83,,Terra Cotta - Very Light
760,#ec8880,,Salmon
761,#f8b4ad,,Salmon - Light
762,#d1d0d2,,Pearl Gray - Very Light
772,#d7efa7,,Yellow Green - Very Light
775,#d4e3ef,,Baby Blue - Very Light
776,#fca8ad,,Pink - Medium
777,#9b0042,,Red - Deep
778,#dca6a4,,Antique Mauve - Very Light
779,#53332d,,Brown
780,#945026,,Topaz - Ultra Very Dark
781,#a25f1f,,Topaz - Very Dark
782,#b26923,,Topaz - Dark
783,#d0883d,,Topaz - Medium
791,#2d2068,,Cornflower Blue - Very Dark
792,#454b8b,,Cornflower Blue - Dark
793,#7c82b5,,Cornflower Blue - Medium
794,#a0b2d7,,Cornflower Blue - Light
796,#272276,,Royal Blue - Dark
797,#2b3288,,Royal Blue
798,#4e5ca7,,Delft Blue - Dark
799,#6b7fc0,,Delft Blue - Medium
